0	1	2
1	2	3
2	3	4
3	4	5
4	5	6
5	2	6
6	6	9
7	7	9
8	7	10
9	63	66
10	0	10
11	10	11
12	11	12
13	12	13
14	9	15
15	14	15
16	15	16
17	16	17
18	17	18
19	14	19
20	19	20
21	20	21
22	21	22
23	22	23
24	19	22
25	23	24
26	24	25
27	7	25
28	14	27
29	27	28
30	28	29
31	29	30
32	30	31
33	31	32
34	32	33
35	33	34
36	34	35
37	35	36
38	30	36
39	52	74
40	34	37
41	37	38
42	38	28
43	38	39
44	39	41
45	40	48
46	33	41
47	41	42
48	42	43
49	43	44
50	44	45
51	45	46
52	46	47
53	40	47
54	48	49
55	49	39
56	28	49
57	48	50
58	27	50
59	50	51
60	8	51
61	52	74
62	51	53
63	47	74
64	54	55
65	52	55
66	55	56
67	54	57
68	56	57
69	46	56
70	45	58
71	5	59
72	59	60
73	60	61
74	61	62
75	62	63
76	63	64
77	61	65
78	4	65
79	4	66
80	65	67
81	8	52
82	8	26
83	26	55
84	27	75
85	75	76
86	59	75
87	36	68
88	37	68
89	68	69
90	69	70
91	28	70
92	38	70
93	54	71
94	53	71
95	53	72
96	71	72
97	40	73
98	73	74
99	19	77
100	77	78
101	56	79
102	118	87
103	87	88
104	88	89
105	89	90
106	90	91
107	88	92
108	92	93
109	93	94
110	94	95
111	95	98
112	95	97
113	95	96
114	94	99
115	99	100
116	99	101
117	101	102
118	102	103
119	103	104
120	104	105
121	105	106
122	106	107
123	107	108
124	104	109
125	109	110
126	109	111
127	109	112
128	112	113
129	112	114
130	112	116
131	87	117
132	114	115
133	115	116
134	118	115
135	0	118
136	114	117
137 111 112
